Ligand	Synonyms
QVX	
QWC	
QW3	
QX5	
QWX	
QWO	
QXC	
QXS	
QY0	
QXL	
QYC	
QYU	
QYO	
QZ6	
QZF	
QZX	
QZO	
R0A	
R0H	
R0L	
R0R	
R0W	
QIR	
QIO	
R8K	
R8R	
R8Z	
R98	
R9F	
R9L	
R9U	
RA3	
RBB	
RBO	
RC3	
RCR	
RD6	
RDN	
RDU	
RF0	
RFI	
RFU	
RG5	
RGF	
RI3	
RI7	
RIK	
RIW	
RIZ	
RJ9	
RJL	
RJS	
RK0	
RK9	
RKI	
RKU	
RL5	
RL9	
RLN	
RLU	
RM6	
RMU	
RNC	
RNL	
ROO	
RP0	
RPU	
RQ8	
RQC	
RQI	
RQR	
RR3	
RS0	
RRF	
RS9	
RSR	
RT5	
RTI	
RTU	
RV3	
RVF	
PJE	
010	
02J	
FHR	
FJC	
3WL	Baicalein
APR	
SAM	
X77	
SAH	
SFG	ADENOSYL-ORNITHINE
U5P	
U5G	(1R,2S,5S)-N-[(2S,3R)-4-amino-1-cyclobutyl-3-hydroxy-4-oxobutan-2-yl]-3-[N-(tert-butylcarbamoyl)-3-methyl-L-valyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide
GTA	7-METHYL-GPPPA
MGP	
K36	GC376
UED	GC373 bound form; GC376 bound form
B1S	
CMU	5-CHLORO-6-[(2-IMINOPYRROLIDIN-1-YL)METHYL]PYRIMIDINE-2,4(1H,3H)-DIONE
U3P	
UXS	
AYE	ALLYLAMINE
ELL	
AR7	
AF3	
1N7	2-hydroxy-N,N-dimethyl-3-sulfo-N-(3-{[(3beta,5beta,7beta,12beta)-3,7,12-trihydroxy-24-oxocholan-24-yl]amino}propyl)propan-1-aminium
V1V	
APY	
V2M	N-[(2S)-1-({(2S)-4-hydroxy-3-oxo-1-[(3S)-2-oxopyrrolidin-3-yl]butan-2-yl}amino)-4-methyl-1-oxopentan-2-yl]-4-methoxy-1H-indole-2-carboxamide, bound form
CSX	
QYS	
SV6	TELAPREVIR, bound form
NNA	Narlaprevir, bound form
V7G	GRL-024-20
O6K	(S,S,S)-13b; 13b-K; ketoamide inhibitor 13b (bound)
PG0	PEG 6000
P6N	
A82	
A1R	
A3R	
MLT	(2R)-2-HYDROXYBUTANEDIOIC ACID; 2-HYDROXY-SUCCINIC ACID
EIC	9,12-LINOLEIC ACID
BLA	
FUA	
POP	
GE6	
R6Q	
R7Q	2,4'-Dimethylpropiophenone
CF0	Fluoro methyl group
PHQ	
R8H	
R9W	
LZE	
EJM	(2S)-2-azanylhexanal; nleu-al
RMZ	3-(2-(4-(3,4-Dimethylphenyl)piperazin-1-yl)ethyl)isoindolin-1-one
RNW	
RQH	Climbazole
RQN	
RV5	1-(1,2,3-benzothiadiazol-6-yl)-3-(2-oxidanylidene-2-piperidin-1-yl-ethyl)urea
QEL	Ifenprodil
