entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
3IS9,1,C,AC7,A,556,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,37,37,27,0.72973,pending,Stage 2I QC-controlled mapping deferral
3ISN,1,C,EDM,C,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,15,15,14,0.933333,pending,Stage 2I QC-controlled mapping deferral
3ITH,1,E,EDM,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,15,15,14,0.933333,pending,Stage 2I QC-controlled mapping deferral
3ITH,1,F,EDM,C,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,15,15,14,0.933333,pending,Stage 2I QC-controlled mapping deferral
3KA2,1,B,2NC,A,204,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3KK1,1,I,914,A,825,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,30,30,11,0.366667,pending,Stage 2I QC-controlled mapping deferral
3KLE,1,BA,ZP4,I,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLE,1,EA,ZP4,M,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLE,1,T,ZP4,A,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLE,1,X,ZP4,E,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLF,1,AA,ZP4,I,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLF,1,DA,ZP4,M,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLF,1,S,ZP4,A,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3KLF,1,W,ZP4,E,823,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,53,53,51,0.962264,pending,Stage 2I QC-controlled mapping deferral
3LAK,1,C,KR1,A,701,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,31,31,30,0.967742,pending,Stage 2I QC-controlled mapping deferral
3LAL,1,C,KRV,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,24,24,23,0.958333,pending,Stage 2I QC-controlled mapping deferral
3LAM,1,C,KRP,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,25,25,24,0.96,pending,Stage 2I QC-controlled mapping deferral
3LAN,1,C,KBT,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,26,26,25,0.961538,pending,Stage 2I QC-controlled mapping deferral
3M8P,1,C,65B,A,562,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,26,0.928571,pending,Stage 2I QC-controlled mapping deferral
3M8Q,1,C,DJZ,A,562,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,35,35,34,0.971429,pending,Stage 2I QC-controlled mapping deferral
3MEC,1,C,65B,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,26,0.928571,pending,Stage 2I QC-controlled mapping deferral
3MED,1,C,65B,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,26,0.928571,pending,Stage 2I QC-controlled mapping deferral
3MEE,1,C,T27,A,561,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,28,28,24,0.857143,pending,Stage 2I QC-controlled mapping deferral
3MEG,1,C,T27,A,561,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,28,28,24,0.857143,pending,Stage 2I QC-controlled mapping deferral
3NBP,1,E,JGZ,A,562,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,34,34,33,0.970588,pending,Stage 2I QC-controlled mapping deferral
